stock_number,make,model,sale_date,delivery_date,year,new,image,price,car_and_driver_hyperlink,dealership_number
265,Acura,MDX,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,0,,68869.83,,52
266,Suzuki,Grand Vitara,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,1,,16376.78,,23
267,Chevrolet,Tracker,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,79426.77,,70
268,Chevrolet,Astro,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,0,,10180.46,,36
269,Mercury,Cougar,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,0,,32462.86,,77
270,Honda,Ridgeline,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,1,,69720.08,,71
271,Morgan,Aero 8,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,1,,50907.42,,24
272,Chevrolet,Express 3500,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,0,,86754.7,,87
273,Saab,9000,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,0,,57939.98,,11
274,Lincoln,Blackwood,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,10040.49,,98
275,Cadillac,DeVille,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,0,,2552.58,,6
276,Fairthorpe,Rockette,0000-00-00 00:00:00,0000-00-00 00:00:00,1960,1,,60641.59,,88
277,Toyota,Prius,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,0,,88781.36,,64
278,Volvo,960,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,1,,4755.98,,43
279,Toyota,RAV4,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,88743.23,,64
280,Dodge,Ram 2500,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,0,,51477.08,,47
281,Subaru,Alcyone SVX,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,1,,86222.56,,50
282,Mazda,B-Series,0000-00-00 00:00:00,0000-00-00 00:00:00,1991,1,,70734.39,,18
283,Audi,S4,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,0,,85909.07,,44
284,Mercury,Topaz,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,1,,39748.36,,17
285,Ford,Laser,0000-00-00 00:00:00,0000-00-00 00:00:00,1985,0,,22206.93,,30
286,Acura,NSX,0000-00-00 00:00:00,0000-00-00 00:00:00,2004,0,,63430.94,,95
287,Saab,9000,0000-00-00 00:00:00,0000-00-00 00:00:00,1987,0,,57954.72,,68
288,Mitsubishi,Truck,0000-00-00 00:00:00,0000-00-00 00:00:00,1987,1,,35600.81,,43
289,Mazda,929,0000-00-00 00:00:00,0000-00-00 00:00:00,1989,1,,47664.44,,89
290,Chevrolet,Aveo,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,1,,67846.75,,82
291,Volvo,S70,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,0,,96535.64,,28
292,Lexus,LS,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,1,,48890.02,,53
293,Chevrolet,Cruze,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,1,,10332.63,,35
294,Chrysler,LeBaron,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,1,,16184.28,,83
295,Mitsubishi,Lancer,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,75915.35,,90
296,Nissan,Altima,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,1,,67835.83,,10
297,Dodge,D350 Club,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,1,,45436.22,,62
298,Hyundai,Tiburon,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,1,,64887.51,,56
299,BMW,5 Series,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,1,,14287.04,,58
300,Saturn,Sky,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,1,,74654.4,,96
301,Isuzu,Rodeo,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,0,,62535.93,,23
302,Chrysler,New Yorker,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,1,,37732.41,,20
303,Chevrolet,Cobalt,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,63473.82,,73
304,Hummer,H3,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,1,,34455.92,,91
305,Infiniti,G35,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,1,,93014.75,,5
306,Acura,MDX,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,0,,56550.02,,88
307,Mitsubishi,Truck,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,0,,99322.24,,32
308,Mercedes-Benz,S-Class,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,96267.79,,8
309,Mitsubishi,Challenger,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,1,,17326.8,,45
310,Honda,Civic Si,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,1,,40225.68,,14
311,Hyundai,XG350,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,1,,10331.39,,68
312,Geo,Metro,0000-00-00 00:00:00,0000-00-00 00:00:00,1997,1,,49865.5,,33
313,Lexus,GS,0000-00-00 00:00:00,0000-00-00 00:00:00,2004,0,,69800.61,,75
314,BMW,7 Series,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,0,,87845.4,,62
315,Toyota,Camry,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,0,,33185.54,,20
316,Jaguar,XK Series,0000-00-00 00:00:00,0000-00-00 00:00:00,2013,0,,24500.49,,82
317,Buick,Rendezvous,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,1,,26542.88,,3
318,Hyundai,Accent,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,0,,80747.96,,98
319,Lincoln,Town Car,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,1,,58732.04,,29
320,Pontiac,LeMans,0000-00-00 00:00:00,0000-00-00 00:00:00,1989,1,,24997.22,,6
321,Volkswagen,GLI,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,5806.25,,60
322,Mitsubishi,Mirage,0000-00-00 00:00:00,0000-00-00 00:00:00,1986,0,,99188.19,,94
323,Chevrolet,Express 3500,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,0,,27408.98,,16
324,Lincoln,Town Car,0000-00-00 00:00:00,0000-00-00 00:00:00,2004,0,,68532.37,,41
325,Volkswagen,Golf,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,0,,70417.21,,38
326,Chevrolet,HHR,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,0,,3911.14,,62
327,Mercury,Topaz,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,0,,90730.53,,26
328,Lincoln,MKZ,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,0,,55012.92,,31
329,Scion,tC,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,1,,13231.72,,88
330,Mazda,Mazda6,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,6148.61,,33
331,Maserati,Coupe,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,0,,87009.12,,74
332,Pontiac,Grand Am,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,46986.32,,77
333,Chrysler,New Yorker,0000-00-00 00:00:00,0000-00-00 00:00:00,1993,0,,44350.93,,41
334,Volkswagen,GTI,0000-00-00 00:00:00,0000-00-00 00:00:00,1986,0,,86066.74,,10
335,Mitsubishi,Truck,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,0,,80436.91,,97
336,Volvo,850,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,0,,8181.74,,83
337,Ford,Mustang,0000-00-00 00:00:00,0000-00-00 00:00:00,2013,1,,1685.72,,62
338,Cadillac,DeVille,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,0,,91884.74,,83
339,Kia,Sedona,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,1,,11491.05,,77
340,Pontiac,Aztek,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,0,,56361.64,,25
341,Isuzu,Space,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,1,,98194.99,,25
342,Kia,Sportage,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,1,,51065.21,,28
343,Mitsubishi,Mirage,0000-00-00 00:00:00,0000-00-00 00:00:00,1990,0,,61183.17,,14
344,Dodge,Ram 2500,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,0,,87180.44,,24
345,Oldsmobile,Silhouette,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,1,,57810.81,,96
346,BMW,M3,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,1,,95750.48,,98
347,Chevrolet,Suburban 2500,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,36269.18,,50
348,Saturn,L-Series,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,0,,97049.21,,35
349,Infiniti,QX56,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,61255.03,,67
350,Peugeot,207,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,1,,30915.8,,74
351,Eagle,Talon,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,1,,31723.99,,54
352,Chevrolet,Suburban 2500,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,0,,27651.05,,50
353,BMW,Z3,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,0,,31731.81,,54
354,Ford,Expedition,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,1,,26682.98,,57
355,Toyota,RAV4,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,28166.56,,31
356,Jaguar,XK,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,1,,44385.46,,53
357,Ford,Windstar,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,1,,2321.1,,19
358,Nissan,Frontier,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,0,,69349.57,,50
359,Mercury,Sable,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,1,,10335.18,,17
360,Hummer,H1,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,0,,88642.27,,99
361,Lexus,IS,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,1,,85284.26,,78
362,BMW,X5,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,1,,66642.81,,4
363,Mercury,Grand Marquis,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,0,,28166.54,,76
364,Chevrolet,Corvette,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,0,,89271.74,,71
365,Hyundai,Tiburon,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,1,,24421.88,,37
366,Chevrolet,SSR,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,77594.29,,50
367,Mitsubishi,Eclipse,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,0,,32994.43,,31
368,Mercedes-Benz,E-Class,0000-00-00 00:00:00,0000-00-00 00:00:00,1997,0,,83344.01,,19
369,Chevrolet,Blazer,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,0,,50808.69,,58
370,Lotus,Elan,0000-00-00 00:00:00,0000-00-00 00:00:00,1991,1,,22269.55,,58
371,Honda,Insight,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,1,,82834.21,,30
372,GMC,3500 Club Coupe,0000-00-00 00:00:00,0000-00-00 00:00:00,1997,1,,58240.33,,67
373,Honda,Accord,0000-00-00 00:00:00,0000-00-00 00:00:00,1987,1,,14415.29,,15
374,Volvo,850,0000-00-00 00:00:00,0000-00-00 00:00:00,1997,1,,36624.71,,17
375,Chevrolet,Corsica,0000-00-00 00:00:00,0000-00-00 00:00:00,1993,0,,42861.33,,52
376,Pontiac,Grand Prix,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,0,,3049.89,,63
377,Mazda,MX-6,0000-00-00 00:00:00,0000-00-00 00:00:00,1991,0,,21313.27,,46
378,Saab,9-3,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,1,,69689.62,,5
379,Mazda,Miata MX-5,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,36957.3,,31
380,Audi,5000S,0000-00-00 00:00:00,0000-00-00 00:00:00,1986,0,,44443.09,,76
381,GMC,Yukon XL 2500,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,1,,26685.25,,60
382,Jeep,Liberty,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,1,,89421.66,,80
383,Ford,Mustang,0000-00-00 00:00:00,0000-00-00 00:00:00,1990,0,,38083.95,,26
384,GMC,2500 Club Coupe,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,1,,20067.24,,74
385,Ford,Fiesta,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,73960.0,,26
386,Chrysler,Prowler,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,0,,94595.93,,8
387,Audi,A8,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,34678.16,,91
388,Saturn,VUE,0000-00-00 00:00:00,0000-00-00 00:00:00,2004,0,,33421.37,,76
389,BMW,6 Series,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,1,,76772.91,,31
390,Kia,Spectra,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,0,,92318.98,,51
391,Toyota,MR2,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,0,,3545.68,,35
392,Cadillac,Seville,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,1,,56375.82,,62
393,Cadillac,CTS-V,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,0,,20968.92,,33
394,Maybach,Landaulet,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,47066.9,,86
395,Chevrolet,Tahoe,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,0,,24281.71,,86
396,Honda,Prelude,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,0,,69372.97,,24
397,Nissan,Pathfinder,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,1,,15328.51,,26
398,Toyota,Camry,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,1,,90255.8,,15
399,Chevrolet,Suburban 1500,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,1,,20949.03,,41
400,Dodge,Journey,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,0,,56741.83,,84
401,Mercedes-Benz,E-Class,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,1,,48032.72,,53
402,Mazda,Miata MX-5,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,55977.3,,25
403,Mercury,Montego,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,0,,93765.08,,98
404,Mazda,Familia,0000-00-00 00:00:00,0000-00-00 00:00:00,1989,1,,20788.16,,60
405,Chevrolet,Malibu,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,0,,10857.76,,98
406,Ford,Edge,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,1,,7321.57,,61
407,Chevrolet,TrailBlazer,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,0,,57581.43,,100
408,Lincoln,Continental,0000-00-00 00:00:00,0000-00-00 00:00:00,1986,1,,66199.02,,38
409,Chevrolet,Express 1500,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,0,,97962.67,,3
410,Ford,Mustang,0000-00-00 00:00:00,0000-00-00 00:00:00,1973,1,,49835.21,,7
411,Aston Martin,DB9 Volante,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,1,,74351.51,,11
412,Porsche,Boxster,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,0,,5279.35,,96
413,Mercedes-Benz,SL-Class,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,0,,36477.53,,35
414,Mazda,MX-5,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,0,,70551.5,,74
415,Hyundai,Entourage,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,1,,42110.49,,13
416,Honda,CR-V,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,0,,22244.31,,60
417,Chevrolet,Suburban,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,0,,74391.33,,72
418,Dodge,Shadow,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,1,,78164.28,,26
419,Dodge,Ram Van 2500,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,0,,20526.79,,31
420,Dodge,Ramcharger,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,1,,23882.58,,4
421,Hyundai,Accent,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,0,,80811.8,,56
422,Ford,Escape,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,0,,90061.65,,35
423,Ford,Flex,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,1,,35757.2,,53
424,Ford,Ranger,0000-00-00 00:00:00,0000-00-00 00:00:00,1993,0,,42548.77,,97
425,Ford,Laser,0000-00-00 00:00:00,0000-00-00 00:00:00,1984,0,,75562.12,,13
426,Dodge,Grand Caravan,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,87596.05,,93
427,Pontiac,Firefly,0000-00-00 00:00:00,0000-00-00 00:00:00,1991,1,,94628.9,,97
428,Hyundai,Genesis,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,20609.3,,9
429,Mercedes-Benz,G-Class,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,0,,94403.23,,34
430,Mazda,MX-5,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,0,,44197.33,,41
431,Mercedes-Benz,C-Class,0000-00-00 00:00:00,0000-00-00 00:00:00,1993,1,,21015.87,,76
432,Toyota,Tacoma,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,0,,32694.03,,15
433,GMC,Savana 3500,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,0,,99501.17,,37
434,Dodge,Stealth,0000-00-00 00:00:00,0000-00-00 00:00:00,1993,1,,34923.96,,71
435,Pontiac,GTO,0000-00-00 00:00:00,0000-00-00 00:00:00,1969,0,,33023.75,,51
436,Chevrolet,Cavalier,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,0,,38223.82,,57
437,Mercury,Grand Marquis,0000-00-00 00:00:00,0000-00-00 00:00:00,1997,1,,41874.34,,78
438,Ford,F250,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,0,,87020.03,,84
439,Lincoln,Town Car,0000-00-00 00:00:00,0000-00-00 00:00:00,1987,1,,82961.23,,70
440,Dodge,Ram 1500,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,0,,21446.23,,100
441,Dodge,Dakota Club,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,22252.13,,71
442,Dodge,Neon,0000-00-00 00:00:00,0000-00-00 00:00:00,1997,1,,27082.44,,65
443,Mazda,929,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,0,,81199.44,,32
444,GMC,Savana 3500,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,0,,89798.27,,39
445,Ford,Freestar,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,0,,73605.49,,65
446,Land Rover,Defender,0000-00-00 00:00:00,0000-00-00 00:00:00,1993,0,,11944.42,,66
447,Chevrolet,S10,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,0,,43482.37,,5
448,Kia,Sorento,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,85708.75,,66
449,Acura,TSX,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,1,,70406.75,,57
450,Chevrolet,Express 3500,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,0,,59820.77,,75
451,Ford,E-Series,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,1,,10772.85,,93
452,GMC,Sierra,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,1,,74021.22,,53
453,Infiniti,Q,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,70469.94,,82
454,Oldsmobile,88,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,0,,20239.68,,41
455,Lincoln,Town Car,0000-00-00 00:00:00,0000-00-00 00:00:00,1986,1,,38739.3,,76
456,Pontiac,Trans Sport,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,1,,21210.78,,50
457,Chevrolet,Camaro,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,95613.36,,90
458,Chevrolet,G-Series G10,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,1,,60519.76,,91
459,Dodge,Intrepid,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,6493.28,,72
460,GMC,Envoy XL,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,0,,35236.72,,56
461,Chrysler,300C,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,0,,87835.12,,4
462,Subaru,Impreza,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,1,,39310.74,,8
463,Infiniti,FX,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,1,,61295.93,,2
464,Hyundai,Equus,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,0,,69764.5,,73
465,Suzuki,Swift,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,0,,24589.98,,100
466,Acura,Legend,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,0,,63421.09,,27
467,Chevrolet,Equinox,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,0,,80927.83,,63
468,Mazda,B-Series,0000-00-00 00:00:00,0000-00-00 00:00:00,1986,0,,78505.54,,50
469,Ford,Ranger,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,1,,78478.16,,23
470,Lexus,LS Hybrid,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,1,,2510.66,,67
471,Ford,Aerostar,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,1,,80847.93,,39
472,Mercury,Capri,0000-00-00 00:00:00,0000-00-00 00:00:00,1984,0,,20059.7,,26
473,Pontiac,Sunfire,0000-00-00 00:00:00,0000-00-00 00:00:00,1997,0,,5767.02,,10
474,Ford,E350,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,0,,87073.14,,26
475,Ford,Escape,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,1,,45335.37,,32
476,GMC,Savana 3500,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,1,,81204.74,,61
477,Saab,9000,0000-00-00 00:00:00,0000-00-00 00:00:00,1997,0,,29670.68,,31
478,Honda,Prelude,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,0,,41633.19,,85
479,Lincoln,Aviator,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,1,,45891.21,,59
480,Audi,RS6,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,37676.32,,60
481,Mercedes-Benz,CLK-Class,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,1,,82850.85,,61
482,Mazda,Protege,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,0,,53794.22,,91
483,Audi,A4,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,8593.86,,36
484,Ford,Bronco,0000-00-00 00:00:00,0000-00-00 00:00:00,1987,0,,11473.48,,62
485,BMW,X3,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,1,,93419.3,,2
486,Kia,Spectra,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,73509.43,,1
487,Hyundai,XG350,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,0,,33895.17,,28
488,GMC,Yukon,0000-00-00 00:00:00,0000-00-00 00:00:00,1997,0,,95961.18,,18
489,Cadillac,DeVille,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,0,,45036.72,,29
490,Mercury,Milan,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,0,,34205.72,,10
491,Volvo,V40,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,1,,87551.37,,53
492,Aston Martin,Rapide,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,0,,23474.6,,72
493,Audi,A6,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,0,,49746.79,,96
494,Honda,Accord,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,0,,79367.0,,59
495,GMC,Yukon,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,1,,80773.71,,9
496,Chevrolet,SSR,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,1,,63467.98,,46
497,Mitsubishi,Eclipse,0000-00-00 00:00:00,0000-00-00 00:00:00,2004,0,,30086.47,,51
498,GMC,Savana 2500,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,1,,69579.81,,16
499,Ford,Fiesta,0000-00-00 00:00:00,0000-00-00 00:00:00,2013,1,,60948.63,,17
500,Hyundai,Tiburon,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,0,,98536.89,,58
501,Volvo,S60,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,0,,44023.09,,24
502,Volkswagen,Passat,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,17533.5,,28
503,Dodge,Dakota Club,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,0,,25878.93,,86
504,GMC,Savana 1500,0000-00-00 00:00:00,0000-00-00 00:00:00,2004,1,,84404.79,,56
505,Mitsubishi,Cordia,0000-00-00 00:00:00,0000-00-00 00:00:00,1985,1,,8300.57,,61
506,Jaguar,XF,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,0,,21025.64,,49
507,Toyota,Camry Solara,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,1,,57753.72,,67
508,Oldsmobile,Intrigue,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,0,,27374.23,,94
509,Honda,Odyssey,0000-00-00 00:00:00,0000-00-00 00:00:00,2004,0,,94167.11,,88
510,Maserati,Quattroporte,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,90862.33,,37
511,Mazda,Familia,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,1,,26767.19,,81
512,Mercedes-Benz,E-Class,0000-00-00 00:00:00,0000-00-00 00:00:00,1987,1,,41540.86,,92
513,Mitsubishi,Diamante,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,1,,38611.47,,85
514,Volvo,S60,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,81537.49,,63
515,Lexus,GS,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,1,,47743.1,,16
516,Lincoln,Town Car,0000-00-00 00:00:00,0000-00-00 00:00:00,1984,1,,34566.24,,75
517,Mitsubishi,Raider,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,1,,84450.0,,18
518,Corbin,Sparrow,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,0,,42137.64,,85
519,Dodge,Ram Van 2500,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,38053.05,,64
520,Lincoln,Town Car,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,1,,79655.04,,86
521,Ford,Festiva,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,1,,30941.22,,60
522,GMC,Yukon,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,1,,70493.42,,69
523,Hyundai,Tiburon,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,74751.74,,22
524,Cadillac,Escalade ESV,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,1,,45761.17,,25
525,Volkswagen,Passat,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,0,,52881.18,,95
526,Lincoln,Mark VII,0000-00-00 00:00:00,0000-00-00 00:00:00,1984,0,,86361.61,,21
527,Oldsmobile,Bravada,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,0,,66854.98,,91
528,Ford,Explorer,0000-00-00 00:00:00,0000-00-00 00:00:00,2004,1,,59221.42,,98
529,Audi,100,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,0,,22311.18,,49
